STATS,Autoc,contr,corrm,corrp,cprom,cshad,dissi,energ,entro,homom,homop,maxpr,sosvh,savgh,svarh,senth,dvarh,denth, inf1h, inf2h,indnc,idmnc
Sample(8)35,25.469,0.23826,0.97715,0.97715,750.33,0.72135,0.17103,0.09239,2.6382,0.92308,0.92082,0.11794,25.453,9.0273,63.825,2.4543,0.23826,0.48405,-0.73112,0.97579,0.98167,0.99652
Sample(8)36,25.37,0.25185,0.97607,0.97607,764.11,-0.62605,0.18418,0.090148,2.6674,0.91648,0.91425,0.11847,25.357,8.9965,63.324,2.4751,0.25185,0.50789,-0.71685,0.97428,0.98021,0.99632
Sample(8)37,25.363,0.28851,0.9726,0.9726,761.04,0.1064,0.20118,0.088177,2.7026,0.91032,0.90756,0.11701,25.359,8.9983,63.159,2.4877,0.28851,0.53861,-0.69966,0.97233,0.97852,0.99582
Sample(8)38,25.353,0.28131,0.97324,0.97324,756.52,1.1233,0.20047,0.087825,2.6987,0.90968,0.9072,0.11843,25.347,8.9973,63.08,2.4904,0.28131,0.53627,-0.70199,0.97263,0.97852,0.99592
Sample(8)39,25.405,0.20768,0.98007,0.98007,749.98,1.3931,0.13434,0.099839,2.5398,0.94157,0.93951,0.12,25.365,9.0106,64.519,2.3863,0.20768,0.40727,-0.77818,0.98013,0.98579,0.99704
Sample(8)40,25.296,0.3131,0.96995,0.96995,745.88,2.0254,0.20667,0.087695,2.7109,0.90928,0.90634,0.11705,25.313,8.9982,62.914,2.4878,0.3131,0.54704,-0.69592,0.97191,0.97807,0.99553
Sample(8)41,25.397,0.35198,0.96615,0.96615,743.27,0.78805,0.22715,0.085137,2.7524,0.90139,0.89779,0.11726,25.42,9.0277,63.025,2.5021,0.35198,0.58316,-0.6761,0.96947,0.97598,0.99499
Sample(8)42,25.324,0.43364,0.95903,0.95903,757.51,0.23791,0.26268,0.081519,2.8117,0.88787,0.88367,0.1158,25.41,8.9997,62.615,2.5281,0.43364,0.63742,-0.64676,0.96538,0.97244,0.99396
Sample(8)43,25.322,0.34678,0.96671,0.96671,744.22,1.5202,0.23149,0.083929,2.7605,0.89794,0.89472,0.11685,25.351,9.0081,62.649,2.515,0.34678,0.58845,-0.6721,0.96894,0.9754,0.99505
Sample(8)44,25.308,0.26287,0.97482,0.97482,745.34,2.0522,0.17819,0.091982,2.6477,0.92115,0.91868,0.11724,25.297,8.9933,63.362,2.4552,0.26287,0.49629,-0.72613,0.97526,0.98103,0.99622
Sample(8)45,25.314,0.31392,0.97023,0.97023,762.91,0.16067,0.21528,0.086038,2.7325,0.90441,0.90146,0.11743,25.325,8.9888,62.832,2.5035,0.31392,0.56224,-0.68557,0.97066,0.97705,0.99548
Sample(8)46,25.263,0.36181,0.96604,0.96604,772.24,-0.24174,0.23577,0.084133,2.7678,0.89715,0.89359,0.11992,25.318,8.9704,62.635,2.5136,0.36181,0.59632,-0.66844,0.96845,0.97503,0.99484
Sample(8)47,25.379,0.25599,0.9755,0.9755,753.51,0.60309,0.18485,0.090012,2.6666,0.91634,0.91413,0.11751,25.357,9.0072,63.324,2.4741,0.25599,0.50856,-0.71751,0.97437,0.98016,0.99628
Sample(8)48,25.265,0.30048,0.97155,0.97155,763.65,0.74675,0.20646,0.087599,2.7091,0.90824,0.90542,0.11702,25.28,8.9745,62.866,2.4901,0.30048,0.54726,-0.69681,0.97202,0.97799,0.99567
Sample(8)49,25.344,0.35829,0.96561,0.96561,743.78,1.2051,0.23118,0.084364,2.757,0.89894,0.89567,0.11597,25.364,9.0141,62.754,2.5121,0.35829,0.58729,-0.67344,0.9691,0.97553,0.99494
Sample(8)50,25.331,0.31999,0.96962,0.96962,762.69,-0.11398,0.21925,0.085813,2.7383,0.9028,0.89971,0.11848,25.357,8.9943,62.862,2.5045,0.31999,0.56937,-0.68223,0.97021,0.97664,0.99538
